interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,resource_name,output_schedule,hsl,hdl,lsl,ldl,base_point,telemetered_net_output,ramp_rate_up,ramp_rate_down,as_capability_regup,as_capability_regdown,as_capability_ecrs,as_capability_nonspin,soc,min_soc,max_soc,as_awards_nonspin,as_awards_rrsffr,as_awards_rrspfr,as_awards_rrsufr,as_awards_ecrs,as_awards_regup,as_awards_regdown,start_up_cold_offer,start_up_hot_offer,start_up_inter_offer,min_gen_cost,as_capability_rrspf,as_capability_rrsff
2025-12-15T00:00:00-06:00,2025-12-15 06:00:00+00:00,2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.47,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.47,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.47,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,2025-12-15T00:20:00-06:00,2025-12-15 06:20:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:20:00-06:00,2025-12-15 06:20:00+00:00,2025-12-15T00:25:00-06:00,2025-12-15 06:25:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:25:00-06:00,2025-12-15 06:25:00+00:00,2025-12-15T00:30:00-06:00,2025-12-15 06:30:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:30:00-06:00,2025-12-15 06:30:00+00:00,2025-12-15T00:35:00-06:00,2025-12-15 06:35:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:35:00-06:00,2025-12-15 06:35:00+00:00,2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.45,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.45,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.45,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.45,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.45,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,2025-12-15T03:00:00-06:00,2025-12-15 09:00:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:00:00-06:00,2025-12-15 09:00:00+00:00,2025-12-15T03:05:00-06:00,2025-12-15 09:05:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:05:00-06:00,2025-12-15 09:05:00+00:00,2025-12-15T03:10:00-06:00,2025-12-15 09:10:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:10:00-06:00,2025-12-15 09:10:00+00:00,2025-12-15T03:15:00-06:00,2025-12-15 09:15:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:15:00-06:00,2025-12-15 09:15:00+00:00,2025-12-15T03:20:00-06:00,2025-12-15 09:20:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:20:00-06:00,2025-12-15 09:20:00+00:00,2025-12-15T03:25:00-06:00,2025-12-15 09:25:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:25:00-06:00,2025-12-15 09:25:00+00:00,2025-12-15T03:30:00-06:00,2025-12-15 09:30:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.45,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:30:00-06:00,2025-12-15 09:30:00+00:00,2025-12-15T03:35:00-06:00,2025-12-15 09:35:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.45,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:35:00-06:00,2025-12-15 09:35:00+00:00,2025-12-15T03:40:00-06:00,2025-12-15 09:40:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.45,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:40:00-06:00,2025-12-15 09:40:00+00:00,2025-12-15T03:45:00-06:00,2025-12-15 09:45:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:45:00-06:00,2025-12-15 09:45:00+00:00,2025-12-15T03:50:00-06:00,2025-12-15 09:50:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:50:00-06:00,2025-12-15 09:50:00+00:00,2025-12-15T03:55:00-06:00,2025-12-15 09:55:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T03:55:00-06:00,2025-12-15 09:55:00+00:00,2025-12-15T04:00:00-06:00,2025-12-15 10:00:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T04:00:00-06:00,2025-12-15 10:00:00+00:00,2025-12-15T04:05:00-06:00,2025-12-15 10:05:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
2025-12-15T04:05:00-06:00,2025-12-15 10:05:00+00:00,2025-12-15T04:10:00-06:00,2025-12-15 10:10:00+00:00,ADL_ESR1,0,0,0,-0.2,0,0,-0.17,60,60,0,0,0,0,7.46,5.16,16.45,,,,,,,,,,,,0E-20,0E-20
