interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp,rtorpa,rtordpa,rtrdpa,lmp_with_adders
2025-12-15T00:00:00-06:00,2025-12-15 06:00:00+00:00,2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,HB_HOUSTON,41.34,,,0,41.3400000000000000
2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,HB_HOUSTON,49.23,,,0,49.2300000000000000
2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,HB_HOUSTON,40.94,,,0,40.9400000000000000
2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,2025-12-15T00:20:00-06:00,2025-12-15 06:20:00+00:00,HB_HOUSTON,40.31,,,0,40.3100000000000000
2025-12-15T00:20:00-06:00,2025-12-15 06:20:00+00:00,2025-12-15T00:25:00-06:00,2025-12-15 06:25:00+00:00,HB_HOUSTON,43.26,,,0,43.2600000000000000
2025-12-15T00:25:00-06:00,2025-12-15 06:25:00+00:00,2025-12-15T00:30:00-06:00,2025-12-15 06:30:00+00:00,HB_HOUSTON,48.34,,,0,48.3400000000000000
2025-12-15T00:30:00-06:00,2025-12-15 06:30:00+00:00,2025-12-15T00:35:00-06:00,2025-12-15 06:35:00+00:00,HB_HOUSTON,50.9,,,0,50.9000000000000000
2025-12-15T00:35:00-06:00,2025-12-15 06:35:00+00:00,2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,HB_HOUSTON,54.55,,,0,54.5500000000000000
2025-12-15T00:40:00-06:00,2025-12-15 06:40:00+00:00,2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,HB_HOUSTON,55.23,,,0,55.2300000000000000
2025-12-15T00:45:00-06:00,2025-12-15 06:45:00+00:00,2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,HB_HOUSTON,59.55,,,0,59.5500000000000000
2025-12-15T00:50:00-06:00,2025-12-15 06:50:00+00:00,2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,HB_HOUSTON,57.66,,,0,57.6600000000000000
2025-12-15T00:55:00-06:00,2025-12-15 06:55:00+00:00,2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,HB_HOUSTON,56.83,,,0,56.8300000000000000
2025-12-15T01:00:00-06:00,2025-12-15 07:00:00+00:00,2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,HB_HOUSTON,53.42,,,0,53.4200000000000000
2025-12-15T01:05:00-06:00,2025-12-15 07:05:00+00:00,2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,HB_HOUSTON,53.75,,,0,53.7500000000000000
2025-12-15T01:10:00-06:00,2025-12-15 07:10:00+00:00,2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,HB_HOUSTON,53.67,,,0,53.6700000000000000
2025-12-15T01:15:00-06:00,2025-12-15 07:15:00+00:00,2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,HB_HOUSTON,56.1,,,0,56.1000000000000000
2025-12-15T01:20:00-06:00,2025-12-15 07:20:00+00:00,2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,HB_HOUSTON,58.1,,,0,58.1000000000000000
2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,HB_HOUSTON,57.31,,,0,57.3100000000000000
2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,HB_HOUSTON,58.28,,,0,58.2800000000000000
2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,HB_HOUSTON,61.62,,,0,61.6200000000000000
2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,HB_HOUSTON,57.94,,,0,57.9400000000000000
2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,HB_HOUSTON,59.95,,,0,59.9500000000000000
2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,HB_HOUSTON,60.43,,,0,60.4300000000000000
2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,HB_HOUSTON,62.52,,,0,62.5200000000000000
2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,HB_HOUSTON,63.99,,,0,63.9900000000000000
2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,HB_HOUSTON,61.12,,,0,61.1200000000000000
2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,HB_HOUSTON,63.03,,,0,63.0300000000000000
2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,HB_HOUSTON,62.11,,,0,62.1100000000000000
2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,HB_HOUSTON,66.4,,,0,66.4000000000000000
2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,HB_HOUSTON,65.08,,,0,65.0800000000000000
2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,HB_HOUSTON,72.46,,,0,72.4600000000000000
2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,HB_HOUSTON,73.17,,,0,73.1700000000000000
2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,HB_HOUSTON,74.12,,,0,74.1200000000000000
2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,HB_HOUSTON,75.05,,,0,75.0500000000000000
2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,HB_HOUSTON,72.8,,,0,72.8000000000000000
2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,2025-12-15T03:00:00-06:00,2025-12-15 09:00:00+00:00,HB_HOUSTON,68.28,,,0,68.2800000000000000
2025-12-15T03:00:00-06:00,2025-12-15 09:00:00+00:00,2025-12-15T03:05:00-06:00,2025-12-15 09:05:00+00:00,HB_HOUSTON,55.59,,,0,55.5900000000000000
2025-12-15T03:05:00-06:00,2025-12-15 09:05:00+00:00,2025-12-15T03:10:00-06:00,2025-12-15 09:10:00+00:00,HB_HOUSTON,69.71,,,0,69.7100000000000000
2025-12-15T03:10:00-06:00,2025-12-15 09:10:00+00:00,2025-12-15T03:15:00-06:00,2025-12-15 09:15:00+00:00,HB_HOUSTON,74.67,,,0,74.6700000000000000
2025-12-15T03:15:00-06:00,2025-12-15 09:15:00+00:00,2025-12-15T03:20:00-06:00,2025-12-15 09:20:00+00:00,HB_HOUSTON,74.76,,,0,74.7600000000000000
2025-12-15T03:20:00-06:00,2025-12-15 09:20:00+00:00,2025-12-15T03:25:00-06:00,2025-12-15 09:25:00+00:00,HB_HOUSTON,75.07,,,0,75.0700000000000000
2025-12-15T03:25:00-06:00,2025-12-15 09:25:00+00:00,2025-12-15T03:30:00-06:00,2025-12-15 09:30:00+00:00,HB_HOUSTON,74.44,,,0,74.4400000000000000
2025-12-15T03:30:00-06:00,2025-12-15 09:30:00+00:00,2025-12-15T03:35:00-06:00,2025-12-15 09:35:00+00:00,HB_HOUSTON,74.62,,,0,74.6200000000000000
2025-12-15T03:35:00-06:00,2025-12-15 09:35:00+00:00,2025-12-15T03:40:00-06:00,2025-12-15 09:40:00+00:00,HB_HOUSTON,73.84,,,0,73.8400000000000000
2025-12-15T03:40:00-06:00,2025-12-15 09:40:00+00:00,2025-12-15T03:45:00-06:00,2025-12-15 09:45:00+00:00,HB_HOUSTON,73.32,,,0,73.3200000000000000
