interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,as_type,mcpc
2025-12-15T00:00:00-06:00,2025-12-15 06:00:00+00:00,2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,ECRS,2.26
2025-12-15T00:00:00-06:00,2025-12-15 06:00:00+00:00,2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,NSPIN,9.02
2025-12-15T00:00:00-06:00,2025-12-15 06:00:00+00:00,2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,REGDN,0
2025-12-15T00:00:00-06:00,2025-12-15 06:00:00+00:00,2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,REGUP,2.54
2025-12-15T00:00:00-06:00,2025-12-15 06:00:00+00:00,2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,RRS,1.14
2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,ECRS,2.26
2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,NSPIN,9.02
2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,REGDN,0.03
2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,REGUP,2.53
2025-12-15T00:05:00-06:00,2025-12-15 06:05:00+00:00,2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,RRS,1.13
2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,ECRS,2.37
2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,NSPIN,9.47
2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,REGDN,0.15
2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,REGUP,2.45
2025-12-15T00:10:00-06:00,2025-12-15 06:10:00+00:00,2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,RRS,1.18
2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,2025-12-15T00:20:00-06:00,2025-12-15 06:20:00+00:00,ECRS,2
2025-12-15T00:15:00-06:00,2025-12-15 06:15:00+00:00,2025-12-15T00:20:00-06:00,2025-12-15 06:20:00+00:00,NSPIN,8
